                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
996   어떤          which, what             1036 여자          woman
997   어떻게         how                     1037 여학생         female student
998   어떻다         how                     1038 여행          travel
999   어떻습니까?      How is it?              1039 여행사         travel agency, travel firm
1000 어렵다          difficult               1040 역           station
                           TOPIK I Vocabulary（Beginner）


No.         한글               English       No.         한글                 English
1041 역사          history                   1081 오랫동안        for a long time
1042 연락처         contact information       1082 오렌지         orange
1043 연세          age (honorific form)      1083 오르다         climb
1044 연습          practice                  1084 오른쪽         right side, right
1045 연습하다        practice                  1085 오리          duck
1046 연예인         celebrity                 1086 오빠          brother (as seen from the younger sister)

1047 연필          pencil                    1087 오십          50
1048 연휴          consecutive holidays      1088 오월          May
1049 열           10                        1089 오이          cucumber
1050 열다          open                      1090 오전          morning, a.m.
1051 열리다         be opened                 1091 오징어         squid
1052 열쇠          key                       1092 오후          afternoon
1053 열심히         hard, enthusiastic        1093 올라가다        go up
1054 열차          train                     1094 올라오다        come up
1055 엽서          postcard                  1095 올려놓다        put on, place
1056 영           spirit, zero              1096 올림픽         olympic
1057 영국          The United Kingdom        1097 올해          this year
1058 영상          video                     1098 옮기다         move, transfer, translate
1059 영어          English                   1099 옷           dress, clothes
1060 영어회화        English conversation      1100 옷가게         clothing store
1061 영하          minus, below zero         1101 옷장          closet
1062 영화          movie                     1102 와이셔츠        shirt
1063 영화관         movie theater             1103 왜           why
1064 영화배우        movie star                1104 왜냐하면        because
1065 영화표         movie ticket              1105 외국          foreign country
1066 옆           side                      1106 외국어         foreign language
1067 예           yes                       1107 외국인         foreigner
1068 예문          example, model sentence   1108 외롭다         lonely
1069 예쁘다         pretty, beautiful         1109 외삼촌         maternal uncle
1070 예순          60                        1110 외숙모         maternal aunt
1071 예약          reservation               1111 외출하다        go out
1072 옛날          a long ago, olden days    1112 외할머니        maternal grandmother
1073 오           5                         1113 외할아버지       maternal grandfather
1074 오늘          today                     1114 왼쪽          left
1075 오다          come                      1115 요금          fee
1076 오래          long, much                1116 요르단         Jordan
1077 오래간만        after a long time         1117 요리          cooking, cuisine
1078 오래간만입니다     Long time no see.         1118 요일          day of the week
1079 오랜만         after a long time         1119 요즘          nowadays, around this time, lately

1080 오랜만에        after a long time         1120 우리          we, us
                           TOPIK I Vocabulary（Beginner）


No.         한글                 English                    No.         한글                English
1121 우리나라        our country, South Korea                 1161 은행          bank
1122 우산          umbrella                                 1162 은행원         bank clerk
1123 우선          first                                    1163 음료수         drink, soft drink
1124 우유          milk                                     1164 음반          record
1125 우체국         post office                              1165 음식          food, cooking
1126 우표          stamp                                    1166 음악          music
1127 운동          exercise                                 1167 음악가         musician
1128 운동복         sportswear, gym clothes                  1168 응           Yeah (answer)
1129 운동선수        athlete                                  1169 의미          meaning
1130 운동장         playground, athletic field               1170 의사          doctor
1131 운동하다        exercise                                 1171 의자          chair
1132 운동화         sports shoes                             1172 이           this, tooth, 2
1133 운전하다        drive                                    1173 이거          this
1134 울다          cry                                      1174 이것          this
1135 울리다         make cry, chime                          1175 이곳          this place, here
1136 움직이다        move                                     1176 이따가         later
1137 웃기다         funny, make someone laugh                1177 이런          this, such ~
1138 웃다          laugh                                    1178 이렇게         like this, so, in this way
1139 원           won (currency units of Korea)            1179 이렇다         like this
1140 원피스         one-piece dress                          1180 이름          name
1141 원하다         want, wish, desire                       1181 이메일         e-mail
1142 월           month                                    1182 이모          maternal aunt
1143 월급          monthly salary                           1183 이모부         maternal uncle
1144 월드컵         world cup                                1184 이번          this time
1145 월세          monthly rent                             1185 이분          this person
1146 월요일         Monday                                   1186 이사          move, moving
1147 웬일          for some reason, What was it?            1187 이상          more than, strange
1148 위           top, up                                  1188 이상하다        strange, funny, weird
